w_r,w_v,mean_sim,min_sim,n_pairs
0.0,1.0,0.02480824982610385,-0.19023730719354726,32
0.05,0.95,0.02408836981603261,-0.18523848569820198,32
0.1,0.9,0.023368489805961373,-0.18023966420285673,32
0.15,0.85,0.02264860979589014,-0.17524084270751147,32
0.2,0.8,0.02192872978581891,-0.17024202121216622,32
0.25,0.75,0.021208849775747676,-0.16889859843378002,32
0.3,0.7,0.02048896976567644,-0.17448083281499,32
0.35,0.65,0.01976908975560521,-0.18006306719620002,32
0.4,0.6,0.019049209745533976,-0.18564530157741002,32
0.45,0.55,0.018329329735462745,-0.19122753595862002,32
0.5,0.5,0.01760944972539151,-0.19680977033983002,32
0.55,0.45,0.01688956971532027,-0.20239200472104005,32
0.6,0.4,0.01616968970524904,-0.20797423910225002,32
0.65,0.35,0.015449809695177806,-0.21355647348346005,32
0.7,0.3,0.014729929685106575,-0.21913870786467002,32
0.75,0.25,0.01401004967503534,-0.22472094224588002,32
0.8,0.2,0.013290169664964102,-0.23030317662709004,32
0.85,0.15,0.012570289654892874,-0.23588541100830002,32
0.9,0.1,0.01185040964482164,-0.24146764538951004,32
0.95,0.05,0.011130529634750409,-0.24704987977072002,32
1.0,0.0,0.010410649624679174,-0.25433504763625003,32
